pos,bib,name,team,category,rank,nationality,time,timediff,Col de Voza,Les Contamines,La Balme,Refuge Croix du Bonhomme,Les Chapieux CCAS,Col de la Seigne,Refuge Elisabetta,Arête Mont-Favre,Col Chécrouit - Maison Vieille,Courmayeur - Dolonne,Refuge Bertone,Refuge Bonatti,Arnuva,Grand Col Ferret,La Peulaz,La Fouly,Praz de Fort,Champex Lac,Bovine,Trient,Les Tseppes,Vallorcine,Argentière,Chamonix - Arrivée,col de voza_pos,les contamines_pos,la balme_pos,refuge croix du bonhomme_pos,les chapieux ccas_pos,col de la seigne_pos,refuge elisabetta_pos,arête mont-favre_pos,col chécrouit - maison vieille_pos,courmayeur - dolonne_pos,refuge bertone_pos,refuge bonatti_pos,arnuva_pos,grand col ferret_pos,la peulaz_pos,la fouly_pos,praz de fort_pos,champex lac_pos,bovine_pos,trient_pos,les tseppes_pos,vallorcine_pos,argentière_pos,chamonix - arrivée_pos
437,548,RECASENS Franck,,V1 H,438,FR,37:50:57,16:44:51.000000,4444,5934,8195,,11351,14796,,17384,18431,46955,22202,23977,25785,29629,,33822,36411,38572,47867,50234,112822,56329,58322,60291,1221,1428,230,-1,1436,277,-1,246,1943,204,511,199,1450,291,-1,266,570,233,374,598,452,426,443,438
438,466,CHRISTOPH Jean-Philippe,,SE H,439,FR,37:51:11,16:45:05.000000,3943,4044,5573,7241,8374,11523,12334,14143,15218,44034,21795,24052,25996,29316,,32317,35142,37295,43947,47769,111451,57042,59394,60305,141,205,507,108,275,1718,260,321,1949,1245,372,354,351,1201,-1,1249,337,426,336,375,409,466,444,439
439,569,WEINMANN Frédéric,ANA HAGUENAU,V3 H,440,FR,37:52:37,16:46:31.000000,3307,4276,6881,,11670,15399,,18195,18819,47030,22470,24728,26424,28865,,30556,32674,35304,43845,48578,111000,56574,58738,60391,1220,1432,398,-1,1373,1235,-1,178,1366,299,246,1269,1692,300,-1,341,334,413,331,636,495,385,445,440
440,1528,PIOVAN Jean-Luc,,V1 H,441,FR,37:53:29,16:47:23.000000,4566,6396,8976,,12817,16011,,18820,19408,47646,24182,25744,27754,29553,,33245,39972,42755,50653,54677,115796,59302,60435,60443,1478,1276,1368,-1,278,1937,-1,1169,1248,1510,311,250,275,1256,-1,203,338,276,335,1200,496,444,420,441
441,2337,PHELAN Eoin,,SE H,442,IE,37:53:46,16:47:40.000000,3931,4618,6307,,9126,12659,13617,15353,16266,44732,23293,25454,27515,29320,,30652,33750,37644,44773,48950,110348,55012,57376,60460,1966,1925,125,-1,327,494,1048,1914,1237,222,354,243,332,288,-1,1437,258,293,334,383,438,462,498,442
442,3324,COOPER Louise,BASIN BLUES RUNNING TEAM/ULTRA LADIES,V2 F,443,US,37:54:24,16:48:18.000000,4441,5945,8391,,12182,15832,,18912,20254,49064,23305,25323,27219,29410,,32971,36233,38432,43744,48398,109646,54657,57776,60498,2309,114,1955,-1,88,1270,-1,1919,1694,243,389,225,1265,251,-1,1192,409,1259,299,381,481,486,430,443
443,1608,THIERRY Philippe,,SE H,444,FR,37:56:33,16:50:27.000000,3281,3288,4727,6619,7844,14475,18599,20005,20886,49076,25511,27675,29102,31124,,35667,38478,40109,45867,49407,109704,54443,57795,60627,1957,2085,243,522,298,1364,793,1238,1438,1934,240,351,1254,1437,-1,1250,260,418,300,403,488,493,428,444
444,2679,RONGERE Stéphane,,SE H,444,Fr,37:56:33,16:50:27.000000,3843,4562,6806,,10027,14424,,17459,18363,47418,23717,25422,27502,30212,,33391,36226,37836,45459,48763,108876,53985,57801,60627,1273,177,211,-1,108,1241,-1,1709,1478,254,335,370,277,246,-1,548,289,341,535,399,482,455,426,445
445,1437,TRABUCCHI Pietro,,V1 H,446,IT,37:58:41,16:52:35.000000,3234,3314,5111,6202,7569,9854,10793,12357,13322,41813,16389,17144,18088,20065,,22803,24830,26466,36013,49410,110400,54872,60548,60755,288,1058,1719,345,1279,185,1441,271,189,153,203,333,201,274,-1,1248,1138,344,484,400,457,396,454,446
446,1359,BON Thierry,,V1 H,447,FR,37:59:26,16:53:20.000000,3760,4765,6934,,10561,14386,15339,17053,17971,46192,25655,27162,28900,31017,,34565,37247,38899,47155,50613,111463,56302,58596,60800,1939,1320,166,-1,389,1172,983,1231,269,1362,1180,1267,288,279,-1,259,1201,490,481,434,372,395,436,447
447,2531,LAGREZE frederic,CAHORS TRIATHLON,SE H,448,Fr,37:59:49,16:53:43.000000,4413,5253,7635,,11941,16381,,19303,20133,48970,31561,34464,36813,38922,,41118,,44099,52615,55032,115578,58742,60121,60823,239,176,1936,-1,2322,1221,-1,221,296,1441,1434,331,1266,254,-1,365,-1,492,376,365,388,443,437,448
448,1904,DIDIER Gilles,,V1 H,449,FR,38:00:35,16:54:29.000000,3759,4776,6984,,11080,14388,15342,17057,18042,46343,25663,27164,28896,31015,,34556,37245,38909,47166,50601,111454,56297,58589,60869,633,2317,444,-1,1942,1929,240,397,1514,95,276,1452,276,276,-1,1193,422,471,405,366,439,500,469,449
449,147,SCHALLER Jacques,,V1 H,450,CH,38:00:50,16:54:44.000000,2689,2406,3687,5990,7188,9153,9691,10752,11489,39706,13666,14177,14605,16349,,17830,18770,19337,21943,23065,84275,29591,60240,60884,2272,213,1246,425,1191,268,245,185,1244,536,1236,1268,311,212,-1,366,368,390,404,433,423,467,435,450
450,582,LAMMERS Robert,THE NORTH FACE HOLLAND,V1 H,451,NL,38:00:52,16:54:46.000000,3338,4566,7001,,11222,16609,,18652,19333,47967,23748,25086,26426,28645,,30694,32412,33846,37364,41124,108846,53213,58751,60886,219,243,1934,-1,177,1507,-1,1271,1277,1690,224,332,1437,354,-1,413,1196,372,354,432,425,487,494,451
451,2511,DUBOZ Michel,TRIANGLE D'OR SPORTIF JURA,V2 H,451,FR,38:00:52,16:54:46.000000,4307,5089,7024,,11308,14813,,17809,18752,47608,24970,26581,28252,30264,,32952,35908,37828,45857,50772,111227,57114,59650,60886,1925,2318,1460,-1,176,350,-1,1699,1937,1935,243,1193,328,1443,-1,362,498,506,353,416,449,429,497,452
452,498,VOGEL Jean Yves,CLUB VOSGIEN SAINT AMARIN,V2 H,453,FR,38:01:20,16:55:14.000000,3764,4473,7111,,10740,15150,,18348,19157,47912,23290,25234,26586,30282,,33032,36571,38784,44904,48277,112701,57369,59315,60914,1283,1987,1697,-1,816,204,-1,1425,1253,1171,250,511,220,167,-1,233,1202,417,297,352,414,469,438,453
453,2285,GOMES herve,JC EPERNAY,V2 H,454,FR,38:01:22,16:55:16.000000,,,6478,,10338,13962,14614,16284,17412,46104,22361,24450,26049,28582,,32582,36467,38202,44028,48386,109831,55015,58095,60916,-1,-1,1935,-1,1955,178,1050,389,1725,1936,332,1248,354,1259,-1,1262,233,1260,298,367,461,498,489,454
454,1217,LECLERCQ Christophe,,SE H,455,BE,38:02:19,16:56:13.000000,3595,4050,5535,7078,8045,11934,12850,16442,16882,45148,22384,23433,25108,27091,,29859,32931,34013,40346,45264,109923,54600,57711,60973,92,537,317,369,205,1167,130,1253,1259,1234,1460,246,511,203,-1,1269,485,302,499,392,462,506,431,455
455,2101,TIRELLO Patrick,,SE H,456,FR,38:02:36,16:56:30.000000,3976,5298,7657,,13493,17889,18728,20496,21262,50018,27555,28785,30036,31571,,35121,37702,39458,47160,50609,111449,56307,58593,60990,412,526,2085,-1,1368,320,180,1247,1939,1720,226,292,1435,239,-1,1438,487,348,1179,402,450,446,506,456
456,1986,LERAY nicolas,CAF NANTES ATLANTIQUE,SE H,457,FR,38:03:21,16:57:15.000000,4147,4921,6494,,9621,12548,13364,14578,15261,43691,22115,24316,25485,28354,,31173,33982,35398,43852,47748,109453,54061,56991,61035,1232,1482,263,-1,540,1249,172,1705,270,298,1192,349,349,413,-1,1266,466,315,373,318,476,434,477,457
457,1771,GERMAIN Eric,,V1 H,458,FR,38:03:54,16:57:48.000000,3646,4999,8065,,12875,17433,18007,19565,20734,49342,26454,27797,29829,32209,,34631,38451,40424,48582,52119,113511,58527,59912,61068,1712,2279,1710,-1,543,1717,1634,1242,1724,1937,351,1440,372,548,-1,1267,354,283,384,424,420,404,476,458
458,1924,ANTONIUCCI Laurent,BEAULIEU ATHLETIC CLUB,SE H,459,FR,38:04:45,16:58:39.000000,4592,6107,8282,,11578,15804,,17586,18170,46801,20578,21691,23527,25636,,29299,31978,33740,40599,51429,111447,55566,58465,61119,140,1957,417,-1,265,1246,-1,1501,207,502,234,311,246,303,-1,1439,353,326,344,374,368,425,467,459
459,1166,LE DU Stephane,MILLE PATTES,SE H,460,FR,38:05:13,16:59:07.000000,4236,4769,6482,,9919,13121,13894,16421,17196,46236,22888,25204,27631,30220,,32948,36540,38574,46042,49780,111314,56851,59449,61147,886,1958,469,-1,1710,196,1051,182,1936,372,270,203,232,344,-1,1440,282,1199,357,426,474,597,459,460
460,3189,LAURENT Pascal,A.S. ST JUNIEN,V1 H,460,FR,38:05:13,16:59:07.000000,3990,5689,7868,,11988,16999,17980,19510,20744,49350,25295,26823,28439,29871,,32951,36538,38537,46055,49784,111311,56848,59445,61147,254,256,197,-1,1229,247,158,190,425,339,258,204,506,294,-1,241,1198,1261,348,1201,493,595,496,461
461,1500,THEBAULT Benoît,,SE H,462,Fr,38:05:45,16:59:39.000000,2567,1879,3796,6924,7755,11692,12249,13562,14119,42749,20606,22206,23578,26517,,30250,33129,34619,43787,49344,109663,54560,58759,61179,139,239,1960,529,446,1938,1196,1675,388,186,331,372,1271,323,-1,470,413,325,403,388,501,596,491,462
462,385,BOURDONNEAU Marc,,SE H,463,FR,38:07:03,17:00:57.000000,3289,3597,6037,,10304,13985,14932,17128,18179,46726,23657,25918,27971,31475,,34824,37811,40027,46596,50873,112640,57867,59276,61257,1867,1286,1959,-1,426,422,663,1911,156,1938,150,1437,1444,1687,-1,1253,263,1262,421,494,429,442,449,463
463,15,TECHER Henri,UASG-ESN-ACBB,V1 H,464,FR,38:07:17,17:01:11.000000,2445,1612,2492,2615,3000,4250,4408,5096,5464,122,7422,7573,7786,8363,,8587,9094,9272,12074,15183,117074,60355,61477,61271,358,163,1198,417,1369,388,1647,297,192,507,1200,1453,1440,242,-1,524,341,1263,411,497,424,454,456,464
464,1784,PISTONI fabrizio,PELO CLUB,V1 H,464,IT,38:07:17,17:01:11.000000,4622,6303,8692,,11722,14412,15246,16881,17743,46186,21565,23092,24847,27004,,30454,34882,37340,42699,47102,117135,60360,61480,61271,2472,162,1183,-1,243,1455,307,208,200,1197,333,1439,1432,1442,-1,1268,307,264,390,410,502,598,447,465
465,365,PORTE Jean Claude,,V1 H,466,FR,38:07:43,17:01:37.000000,5179,6999,8593,,13107,16065,,18354,19046,47564,23721,25205,26590,28412,,32615,36244,37909,44950,48702,109905,54373,60015,61297,357,115,1725,-1,1469,389,-1,1921,302,1432,1449,417,432,1249,-1,1441,306,296,386,330,544,415,440,466
466,2933,TARDIF Jean,,V2 H,467,FR,38:09:28,17:03:22.000000,3407,4200,6053,,9138,12470,13615,15759,16647,44925,21469,23429,25763,27896,,32034,35632,37983,45401,49413,109918,54664,58459,61402,94,2326,684,-1,376,296,1036,388,225,274,417,288,203,372,-1,305,1195,319,387,397,475,430,451,467
467,2098,RENUART Thomas,,SE H,468,BE,38:10:20,17:04:14.000000,3926,4681,7281,,11469,16395,,20328,21154,49534,26632,28260,29171,31730,,35522,38681,41286,51552,53537,113262,57654,59652,61454,109,1230,1469,-1,160,199,-1,1704,273,1241,225,275,1200,1248,-1,363,414,350,372,385,437,428,462,468
468,3077,JOUVENOD JEAN-LOUIS,FCMB,V1 H,469,Fr,38:11:15,17:05:09.000000,3176,3288,4789,7316,8275,14071,14729,16574,17170,45261,23142,24140,25770,27905,,31113,35213,36611,43859,50767,110536,54738,58134,61509,247,632,224,242,311,1168,1446,1669,301,270,349,506,274,366,-1,290,295,1264,465,384,441,401,500,469
469,1866,GARROSSET GORGAS Jaume,TROTE-EXTREM,V1 H,470,Es,38:13:32,17:07:26.000000,2541,2318,5363,6894,8656,12646,13706,15352,16360,44930,21108,21907,23291,25043,,27056,29523,31461,39034,43593,106521,51781,56498,61646,1498,505,238,613,1970,508,185,511,342,174,506,276,279,362,-1,1263,345,1265,483,472,536,420,501,470
470,1868,AGUILAR Enric,TROTE-EXTREM,SE H,470,ES,38:13:32,17:07:26.000000,3993,5101,7612,,10448,14169,14954,17557,17978,45964,21647,23612,24854,26527,,28868,30199,32195,39056,43595,106532,51785,56502,61646,1937,384,256,-1,1946,371,1237,222,461,1428,362,1273,1451,797,-1,1247,300,511,328,491,464,473,473,471
471,1618,LACHAUX Francois,CAF BRIANCON,SE H,472,FR,38:13:52,17:07:46.000000,5579,8809,12095,,17690,22678,24795,27050,29648,57697,31115,31985,33170,34826,,38002,38590,39937,45746,46864,107801,53295,61478,61666,2319,616,385,-1,2323,379,968,270,1944,202,1267,1249,413,365,-1,1198,316,380,498,496,391,436,507,472
472,3185,PRADEL Arnaud,HORIBA ABX,V1 H,473,Fr,38:14:23,17:08:17.000000,4662,6339,8364,,11850,14860,,17619,18427,46824,23981,25413,26768,28858,,31993,34926,37571,45435,49415,111158,55534,58993,61697,662,1480,1482,-1,385,1370,-1,1147,177,1256,413,277,239,207,-1,1442,312,1266,478,465,390,459,480,473
473,3236,ZEA MONTERO Charo,,SE F,474,ES,38:15:07,17:09:01.000000,3653,4143,5952,,9857,12889,14404,16696,17734,46154,21404,23062,25082,27533,,30400,33134,35914,44009,48359,110764,56290,59171,61741,513,141,1962,-1,1379,221,1636,1711,277,1273,1191,797,151,524,-1,285,503,1200,369,512,399,437,475,474
474,3235,GAMEZ MELLADO Pedro,AVENTURA - T,SE H,475,ES,38:15:08,17:09:02.000000,3666,4141,5935,,9855,12887,14394,16741,17741,46162,21259,23020,25078,27346,,30397,33077,35916,44016,48357,110768,56286,59169,61742,512,2325,413,-1,1258,223,1042,1710,1152,1721,292,328,300,266,-1,1443,1199,1267,371,371,432,476,474,475
475,443,LOPEZ Christine,CAVAL PERTUIS,V1 F,476,FR,38:16:08,17:10:02.000000,4363,5228,7482,,11680,15392,,18509,19934,48369,23670,25761,28486,30941,,34369,37253,39421,45444,49974,111021,55761,58452,61802,1476,159,247,-1,1947,189,-1,1449,96,1684,1439,1201,797,191,-1,1444,322,1268,396,422,431,477,499,476
476,1406,SERGE Marie,,V2 F,477,FR,38:16:09,17:10:03.000000,3530,4436,6868,,10482,14083,15146,16846,17893,46553,23327,25419,27175,29465,,33036,36542,38879,45441,49978,111014,55783,58451,61803,384,467,2324,-1,1444,1230,1265,157,1445,494,288,1277,262,1447,-1,311,292,383,397,421,469,549,481,477
477,2817,ANCRENAZ Patrick,CAVAL,V1 H,478,FR,38:16:10,17:10:04.000000,4573,5575,7530,,11300,14233,15149,16831,17446,45623,20647,22238,23541,26615,,29615,32574,34298,42191,47660,113900,57755,59528,61804,1967,443,272,-1,462,507,220,302,1199,218,1458,389,323,211,-1,1445,379,381,408,423,470,512,427,478
478,1506,SIMON BRUNO,COHM,SE H,479,Fr,38:18:57,17:12:51.000000,3514,3684,5557,7350,9314,13973,14841,16320,17054,45762,24412,26608,28513,29982,,33559,35319,36012,44484,48751,110133,54217,57689,61971,1424,255,595,422,1260,363,1022,303,1688,1939,599,504,504,348,-1,387,377,354,409,409,504,475,463,479
479,2275,LAFOURCADE Patrice,UAT-STADO,V1 H,480,Fr,38:19:02,17:12:56.000000,4009,5507,8338,,13140,17343,18369,20228,21176,50059,27033,28966,30852,32550,,35023,37283,39415,45467,49717,110305,56325,59124,61976,1931,681,596,-1,620,1686,244,274,348,234,233,274,291,302,-1,337,1197,353,410,478,415,474,453,480
480,2621,BAHOUGNE jean marie,PAUILLAC,V1 H,481,Fr,38:19:13,17:13:07.000000,3725,4202,5797,7374,8271,11544,12269,14267,15224,43672,19620,21431,23344,26665,,29985,32624,35020,42746,48896,109990,54130,59269,61987,222,166,1434,191,95,245,264,425,510,1421,1431,413,1445,1264,-1,340,323,307,452,411,543,449,439,481
481,2651,GABALDA philippe,,SE H,482,Fr,38:19:47,17:13:41.000000,4862,6174,7869,,11510,14923,,17806,18838,48421,26476,28816,31450,33493,,37420,39714,41813,48671,52101,112827,57956,59853,62021,1728,427,213,-1,96,414,-1,1364,221,284,796,1434,1246,504,-1,274,1301,391,468,457,507,447,461,482
482,2305,GROSS Bernard,PCA CCA ROUFFACH,V2 H,483,FR,38:21:22,17:15:16.000000,3782,5283,7592,,11396,15233,,18770,19836,48602,25498,27413,29636,31929,,35219,38670,40839,47464,51642,112715,57848,60235,62116,617,1370,205,-1,297,237,-1,1358,511,1940,274,362,362,1254,-1,279,385,389,579,439,435,456,460,483
483,1807,ZECHMANN Eric,CSA LYON,V1 H,484,FR,38:21:49,17:15:43.000000,4113,5024,7224,,11356,15040,,19031,19814,48075,26897,28461,29622,31791,,34151,37882,39971,48767,52585,113852,58697,60144,62143,245,1899,540,-1,294,1950,-1,431,497,345,504,232,248,1446,-1,490,376,1269,496,592,472,499,478,484
484,2831,GORECKI Rene,CSA BA942,V1 H,485,FR,38:21:50,17:15:44.000000,4138,5129,7261,,11564,15330,,19028,19838,48073,27014,28463,29684,31798,,34152,37888,39978,48763,52588,113850,58701,60149,62144,1483,1475,2321,-1,1956,200,-1,379,375,263,1436,1442,303,290,-1,248,302,304,341,490,471,509,452,485
485,434,BARBIER Patrick,US JOIGNY,V1 H,486,FR,38:22:37,17:16:31.000000,3827,4555,6909,,11604,15877,,18368,19491,48444,23714,25687,27519,30228,,33777,36826,38679,44572,48456,109651,54569,57746,62191,259,274,104,-1,1256,375,-1,461,1729,458,220,1460,389,1194,-1,372,583,595,355,408,396,480,468,486
486,435,AVILA Ernest,US JOIGNY,V1 H,487,FR,38:22:38,17:16:32.000000,3827,4625,6997,,11841,15213,,18215,19412,48442,23707,25688,27520,30226,,33781,36830,38621,44477,48458,109659,54675,57748,62192,1439,2003,388,-1,1901,1945,-1,1419,205,194,1465,320,1275,1260,-1,358,584,597,362,407,410,438,515,487
487,2196,RIBEAUCOURT Jean-Paul,CCA ROUFFACH,V1 H,487,FR,38:22:38,17:16:32.000000,3708,5022,7030,,11402,15356,,18517,19625,48460,25495,27422,29620,31901,,35215,38657,40836,47473,51637,112724,57854,60232,62192,113,1960,239,-1,1477,293,-1,375,1432,1367,328,303,1722,261,-1,357,585,405,389,492,468,514,514,488
488,1633,HAMEL Laurent,UFO,V1 H,489,FR,38:23:10,17:17:04.000000,4252,4948,7140,,11096,15224,,20319,22053,51030,27821,30655,31854,34858,,37836,39717,40890,46401,50889,112057,57186,58327,62224,1438,546,1279,-1,158,1475,-1,371,1950,160,1275,1481,1441,296,-1,261,349,596,479,501,447,515,482,489
489,509,CASSISA PATRICK,ALCF,V1 H,490,Fr,38:23:38,17:17:32.000000,2209,1075,1925,3253,3904,6470,6841,8328,9110,37529,17727,22264,23674,25229,,27640,30188,32135,43411,47988,109140,57010,60006,62252,1448,1166,2004,268,254,302,243,510,1377,1941,277,220,1257,320,-1,1446,350,494,477,835,587,440,458,490
490,599,DIRR Peter,,V2 H,490,DE,38:23:38,17:17:32.000000,3226,3718,5473,7195,8931,12457,13513,15282,16530,45656,20718,22811,25234,26314,,28959,33143,34967,42271,46875,108164,53502,58547,62252,91,2478,1477,92,288,270,1210,349,1436,229,1723,233,1252,1263,-1,348,384,374,668,404,456,431,549,491
491,1567,ROTH Etienne,WOLFBERGER CAVE VINICOLE,SE H,492,FR,38:23:39,17:17:33.000000,2002,1135,1899,2619,3230,8531,9097,10361,11302,39107,22122,22639,24027,25909,,28062,30193,32143,43409,48127,109138,57032,60009,62253,58,445,1901,270,535,1283,974,201,311,1474,1476,291,1247,241,-1,302,335,1270,319,626,455,548,490,492
492,2495,BOURGUIGNON alain,USJOIGNY,V1 H,493,Fr,38:23:46,17:17:40.000000,4396,6529,9061,,13981,18054,18999,20591,21740,50088,24392,26355,28094,30222,,33783,36828,38617,44529,48460,109657,54573,57741,62260,263,2479,1249,-1,444,1252,352,193,1371,271,512,290,259,233,-1,296,454,459,526,500,454,541,492,493
493,1435,MAGLICA frédéric,GALVAK,SE H,494,Fr,38:24:28,17:18:22.000000,3522,3699,5729,,9340,13270,14064,15764,16836,45387,21314,22772,24222,26001,,28817,,33710,41718,46767,108157,53979,58261,62302,1362,1365,2325,-1,1437,1716,195,206,371,1242,1247,262,524,417,-1,319,-1,378,359,507,451,461,466,495
494,2988,HUBAUD Xavier,OXYGENE,SE H,494,Fr,38:24:28,17:18:22.000000,4247,5642,8205,,12225,17548,18489,20580,21823,50525,27524,29880,31567,34943,,38252,,44565,51882,55022,115091,58393,60124,62302,290,230,1379,-1,144,410,467,1920,1276,235,275,239,233,1270,-1,344,-1,338,494,406,434,460,448,494
495,598,DIRR Angelika,TV HERBOLZHEIM,V1 F,496,DE,38:24:46,17:18:40.000000,3208,3715,5468,7187,8926,11770,13202,14843,15567,45654,20543,22786,25231,26063,,28956,33144,34964,42196,46878,108161,53498,58543,62320,2270,1477,294,238,259,1258,1038,343,1446,1272,290,151,1480,319,-1,283,401,1271,430,681,444,435,495,496
496,2527,LAGNEAU Eric,TCB,V1 H,497,FR,38:25:36,17:19:30.000000,3630,4755,7183,,11263,14806,,18095,19271,47694,21906,24104,26031,28180,,31741,33895,35459,41714,46791,108152,53993,58278,62370,65,1971,1957,-1,269,203,-1,416,431,1178,1369,323,1459,1199,-1,325,387,451,493,453,494,490,504,497
497,1615,CLOUZET jean-françois,SAPEURS-POMPIERS DE L'AIN,SE H,498,Fr,38:25:40,17:19:34.000000,2541,2356,4061,5769,7065,10487,11414,13661,14248,42668,21146,22847,25253,27466,,30424,33816,35900,44480,49079,110137,54744,57957,62374,810,1469,311,355,247,205,178,1270,416,1172,320,1194,1258,363,-1,1447,382,388,488,430,442,492,484,498
498,1527,LEGRAND Yves,AVIA,V2 H,499,FR,38:29:34,17:23:28.000000,3911,4236,6257,,9610,13583,14390,16418,17066,45948,23835,25870,28113,31002,,33378,36229,38425,46030,49704,111459,56312,59174,62608,467,1934,1971,-1,1190,184,68,226,1425,368,303,300,363,470,-1,1448,381,455,398,377,510,439,485,499
499,2221,BUISAN bernard,ESCLOPS AZUN,V1 H,500,FR,38:29:53,17:23:47.000000,4578,6221,8730,,12862,15971,,19032,20725,49965,24113,25884,27497,29393,,32927,35853,37844,43841,48168,109639,54662,58880,62627,1964,1973,245,-1,303,1447,-1,1423,397,1442,1511,279,417,1688,-1,417,1205,1272,449,506,509,452,488,500
500,1245,CLEMARON Philippe,ATOUSPORTS,V1 H,501,FR,38:29:54,17:23:48.000000,4511,5268,6930,,9801,13031,13657,14983,15597,43602,20263,22257,24130,26176,,28434,33287,35440,43754,48130,109642,54213,58935,62628,1911,1183,2326,-1,182,1435,1633,497,163,331,1276,432,290,389,-1,1274,408,416,487,511,542,489,483,501
501,1957,BRUEL MICHEL,,V1 H,502,Fr,38:30:00,17:23:54.000000,4824,7148,9538,,14500,19188,20598,22976,24749,53994,30080,32215,34843,36679,,39756,,44883,50982,54675,115300,60335,61871,62634,159,1250,2346,-1,222,1251,969,1433,1945,228,204,1278,242,1273,-1,383,-1,386,427,475,622,453,450,502
502,2548,GOURMELON Xavier,,SE H,503,FR,38:31:19,17:25:13.000000,4116,5681,8031,,12428,17634,19200,21525,23100,51812,28886,30928,32492,34897,,38433,41895,44026,50336,54236,115496,60376,62035,62713,1941,1946,1125,-1,1958,547,1449,312,334,1207,533,1266,1193,1275,-1,381,374,478,444,474,620,635,524,503
503,2037,MICHELETTI Luciano,RUNNERS BERGAMO,V2 H,504,IT,38:32:29,17:26:23.000000,3664,3887,5194,7164,8471,12246,,22375,14603,43083,19115,20451,21969,24718,,28930,32875,34531,46281,50651,112038,57614,60138,62783,2523,1734,259,276,1153,181,-1,278,237,236,1456,599,1372,380,-1,1449,504,636,456,454,630,504,509,504
504,401,GAUTHIER REGIS,ALS MONTLOUIS 37,V2 H,505,Fr,38:32:34,17:26:28.000000,3817,5230,7692,,11870,15989,,18993,19954,48842,25514,26917,28250,30243,,33771,36029,37923,44957,49027,114160,58760,60463,62788,214,175,664,-1,1959,287,-1,335,1462,413,279,1726,266,597,-1,492,446,835,613,414,499,547,441,505
505,2753,PEYRON Philippe,AUCUN,V1 H,506,FR,38:33:50,17:27:44.000000,3227,2940,4014,4780,6285,8882,9948,11551,12885,42331,18759,20252,21614,22932,,26585,30102,32267,43750,48341,110144,54868,58422,62864,593,1953,298,380,1544,269,1451,794,796,1258,323,512,251,581,-1,1276,1139,504,612,443,484,468,512,506
506,450,MOUSSEL Francois,,V1 H,507,FR,38:35:00,17:28:54.000000,3229,3254,4693,7094,8266,11158,11907,13828,14839,43587,21122,22647,24578,26924,,29803,32779,34633,43727,48202,110240,54098,58997,62934,402,2221,1948,101,413,1240,441,1931,503,1150,232,1260,320,490,-1,310,370,412,426,486,508,478,505,507
507,522,CAZALY William,MONT AIGOUAL,V3 H,508,FR,38:37:15,17:31:09.000000,4191,5106,7840,,11856,15883,,19420,20336,48668,24308,27494,29418,31526,,35094,38480,41230,47860,52357,113908,59370,61801,63069,256,2238,1323,-1,284,342,-1,1432,232,428,1264,1254,302,1276,-1,309,1203,394,461,487,426,513,596,508
508,3049,ROEST Thijs,ARTEMIS WINSUM,V1 H,509,NL,38:38:03,17:31:57.000000,3783,4380,6037,,9642,13116,13941,15634,16430,44729,19955,22531,24844,26267,,29249,32819,34636,42874,48816,110771,56315,60357,63117,2027,195,1061,-1,1730,792,1450,1194,287,508,1479,1725,348,375,-1,1257,620,375,462,493,430,524,597,509
509,1142,ABBEY Gabriel,,SE H,510,FR,38:38:06,17:32:00.000000,4949,7223,9184,,13336,15781,,19317,20299,48587,24409,26690,28607,30875,,35026,38512,39993,48752,53824,115024,59543,61340,63120,594,2034,327,-1,186,187,-1,180,379,394,412,348,211,310,-1,1260,1207,345,441,428,515,483,595,510
510,3002,GARNIER Alice,ASPTT,ES F,511,FR,38:38:10,17:32:04.000000,3342,3935,5427,6487,7289,10844,11557,13573,14232,42401,18246,19848,21518,25492,,28451,30613,33172,42214,48346,117493,60382,61880,63124,388,1723,108,552,204,273,1641,506,274,195,1199,302,293,595,-1,1261,1204,1273,401,625,555,488,598,511
511,1345,BOSSONNEY eric,FOULE D&amp;#039; ANNEMASSE,SE H,512,Fr,38:39:09,17:33:03.000000,3386,4078,5822,7143,8337,10791,11791,13342,14245,42978,19167,21075,23069,25552,,29068,32390,34784,41984,47171,110822,56252,60448,63183,2231,661,1256,157,1267,503,340,224,231,1373,1262,1372,1723,596,-1,1450,412,392,393,440,528,463,446,512
512,621,ROL Joseph,FAC,V3 H,513,FR,38:39:14,17:33:08.000000,3088,3645,6173,,9916,13888,15442,17104,17968,46649,21661,24571,26314,28867,,33028,36599,39141,46092,50142,112141,57812,60664,63188,212,1708,1139,-1,1731,353,291,164,1209,793,595,524,548,383,-1,334,473,462,819,370,531,482,541,513
513,2979,BOUTIER Laurent,SPORT EV THE NORTH FACE,V1 H,514,Fr,38:39:39,17:33:33.000000,3148,3581,7058,,11216,14694,,17584,18747,47116,22865,25230,26827,28352,,31141,35267,37230,44751,48889,111501,56466,59847,63213,599,1728,158,-1,181,384,-1,97,239,531,596,380,357,1374,-1,1259,371,320,604,548,458,592,513,514
514,2981,MEMBRADO Marc,SPORT EV THE NORTH FACE,V1 H,514,Fr,38:39:39,17:33:33.000000,3147,3583,7060,,11211,14689,,17574,18749,47118,22780,25236,26829,28330,,31137,35271,37234,44761,48891,111497,56475,59846,63213,1486,2324,274,-1,244,729,-1,529,1261,319,262,581,325,381,-1,389,317,393,391,466,448,540,540,515
